Country Name;Country Code;Series Name;Series Code;1996 [YR1996];1998 [YR1998];2000 [YR2000];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021];2022 [YR2022];2023 [YR2023];growth rate
Afghanistan;AFG;Control of Corruption: Estimate;CC.EST;-1,291704774;-1,176012278;-1,271724224;-1,251137018;-1,344179749;-1,35064733;-1,447252393;-1,446292281;-1,61325109;-1,672095537;-1,552298784;-1,645391107;-1,600470781;-1,430372834;-1,445960641;-1,364934087;-1,354713082;-1,540227771;-1,530074596;-1,502875924;-1,419310093;-1,493360877;-1,152265787;-1,183684349;-1,154931784;-0,466339982
Afghanistan;AFG;Control of Corruption: Number of Sources;CC.NO.SRC;2;2;2;2;3;5;5;7;6;7;8;9;9;10;11;11;11;10;10;10;10;9;8;8;8;5,776226505
Afghanistan;AFG;Control of Corruption: Percentile Rank;CC.PER.RNK;4,301075459;8,021389961;4,787233829;4,761904716;4,761904716;6,403940678;1,463414669;1,951219559;0,970873773;0,485436887;0,95693779;0,952380955;0,473933637;1,421800971;0,947867274;5,288461685;5,714285851;3,809523821;3,809523821;4,761904716;5,714285851;4,761904716;12,38095284;12,26415062;13,679245;4,820894259
Afghanistan;AFG;Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval;CC.PER.RNK.LOWER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,476190478;0;0;0;1,428571463;0;4,761904716;4,716980934;6,13207531;..
Afghanistan;AFG;Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval;CC.PER.RNK.UPPER;27,41935539;33,68983841;30,85106468;32,80423355;19,04761887;15,27093601;13,17073154;11,70731735;6,796116352;4,368932247;7,177033424;3,809523821;4,265402794;11,84834099;9,952606201;12,5;12,85714245;10;9,523809433;9,523809433;11,90476227;10,47619057;20,95238113;20,28301811;20,75471687;-1,160315105
Afghanistan;AFG;Control of Corruption: Standard Error;CC.STD.ERR;0,340506971;0,324012995;0,346905559;0,352838129;0,270214707;0,213201359;0,207366139;0,207394153;0,232796639;0,224344641;0,203014597;0,19512254;0,195457265;0,186088413;0,159919843;0,161376327;0,161489844;0,165064543;0,162055895;0,154826999;0,154633209;0,15748255;0,182797357;0,1733585;0,173359022;-2,812795353
Afghanistan;AFG;Government Effectiveness: Estimate;GE.EST;-2,175166607;-2,102291822;-2,173946142;-1,587687016;-1,175768018;-0,945146263;-1,228815675;-1,473651528;-1,440110564;-1,527795076;-1,50775218;-1,478315592;-1,474100471;-1,375535131;-1,401462913;-1,361646175;-1,397394896;-1,291468024;-1,386596799;-1,50175786;-1,519112587;-1,611539483;-1,670587897;-1,880034804;-1,987013698;-0,376968355
Afghanistan;AFG;Government Effectiveness: Number of Sources;GE.NO.SRC;1;1;1;2;2;4;4;6;5;6;7;7;7;8;8;8;8;8;8;8;8;7;6;6;6;7,465664455
Afghanistan;AFG;Government Effectiveness: Percentile Rank;GE.PER.RNK;0;0;0;2,162162066;9,729729652;16,91542244;9,313725471;4,390244007;4,368932247;3,398058176;2,87081337;3,82775116;4,739336491;5,687203884;6,161137581;7,211538315;6,666666508;7,619047642;7,142857075;7,142857075;6,666666508;5,238095284;5,238095284;1,886792421;1,415094376;..
Afghanistan;AFG;Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval;GE.PER.RNK.LOWER;0;0;0;0;1,621621609;4,477612019;1,470588207;0;0,485436887;0,485436887;0;0,478468895;0,473933637;0,473933637;0,473933637;1,923076868;1,428571463;4,285714149;3,333333254;1,428571463;1,428571463;1,428571463;0,952380955;0;0;..
