"setting","date","source","indicator_abbr","indicator_name","dimension","subgroup","estimate","se","ci_lb","ci_ub","population","flag","setting_average","iso3","favourable_indicator","indicator_scale","ordered_dimension","subgroup_order","reference_subgroup","whoreg6","wbincome2024","dataset_id","update"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (2 groups) (0-18+)","0-17 years",78.7022633545366,0.95225894600804,76.7745122565107,80.5106260955875,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (2 groups) (0-18+)","18+ years",72.9298035625063,1.0106869742859,70.9021124349358,74.8662833878094,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,0,0,1,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (4 groups) (0-60+)","0-9 years",79.5956230783529,0.97223171603127,77.6220355343879,81.4367789361814,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,1,1,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (4 groups) (0-60+)","10-17 years",77.3515141151914,1.02051175777291,75.2872655012692,79.290765742851,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,1,2,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (4 groups) (0-60+)","18-59 years",73.1076290991747,1.02384087542272,71.0523933839272,75.0681481705472,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,1,3,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Age (4 groups) (0-60+)","60+ years",71.2356798008902,1.20307685809632,68.819123929324,73.5369667858869,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,1,4,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Place of residence","Rural",82.709164444946,0.97835052650982,80.7049262819176,84.5450837599274,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Place of residence","Urban",44.9609871956626,1.65063422847259,41.7486423878745,48.215914630416,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,0,0,1,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Central",54.5501767411378,2.25651718981649,50.0991431604373,58.9296596675536,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","Central Highlands",77.8848683069745,2.31438528627137,73.0148631824159,82.0915503897627,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","East",75.2108390411323,3.48281006262982,67.7744922054113,81.4020654505846,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","North",78.6419057813845,1.97013570651251,74.5237656882705,82.2528893584454,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","North East",78.1873001368161,1.96053656962878,74.0986604960599,81.7891491840002,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","South",88.4428221133271,2.06276731116983,83.7420315171685,91.9156503032219,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","South East",79.7771496897876,3.24069621656677,72.6784255394782,85.4019376226862,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mp_headcount","Incidence of multidimensional poverty (%)","Subnational region","West",80.4542530796083,2.44193606191049,75.2185112168739,84.8072364502755,NA,"Survey used to calculate MPI: MICS",76.0101396049475,"AFG",0,100,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (2 groups) (0-18+)","0-17 years",0.46003509353324,0.0070864704802191,0.446167944699311,0.473964396334456,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,0,0,0,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
"Afghanistan","2011","UNDP and OPHI","mpi","Multidimensional Poverty Index","Age (2 groups) (0-18+)","18+ years",0.414896372711881,0.0070914425965773,0.401056121149554,0.42887224578247,NA,"Survey used to calculate MPI: MICS",0.438982789642792,"AFG",0,1,0,0,1,"Eastern Mediterranean","Low income","rep_mpi","22 April 2024"
